Cerrado_Pos,Cerrado_Neg
"fruit, pequi, cagaita","heat, dry"
"Fruits, cashew, pequi",fire
"Native plants, fruits",Undoing
fruits,Man
"Productive, cashew, murici, puçá, mangaba, araticum, baru",Logging
"Resilience, strength, adaptation","exploration, monoculture"
Preservation,"destruction, fire"
"Landscape, place, vantage, comfortable",Dry
"waters, fruits",fires
"Fruit, pequi, cashew, orchids, products, roots, medicines","dry, earth, different"
"Fruits, landscape, forest, savannah",Fire
"Medicinal plant, bug, fruit, coconut","fire, deforestation"
fruits,Fire
"ground, saw, beauty",Anything
low trees,Fire
" Pequi, native fruits, sucupira, medicine",Anything
"Burns, regenerates very fast",Anything
"Cerrado fruits, both for us and for the animals, pequi","Soy, end it all, deforestation"
"Animals, nature, cute, bird","Smoke, cigarette, fire, end it all, destruction"
"Trees, bushes, fruits, pequi, Murici, cashew",Anything
"Fruits, pequi, cashew",Anything
"Biodiversity of plants, fruits, beauty","arid, low"
" Productive, technology, limestone"," Acid soil, technical assistance"
Diversity of flora and fauna,Burned
 biodiversity,can be better explored
" Pequi, cashew, fruit, puçá, stream","There's no forest, there's no fruit"
"fruits, pasture","temperature, fire"
NA,NA
"Pequi, cashew, landscape","Deforestation, hunting, fire"
"Wind that lowers the temperature, fruits","Venomous animals, snakes"
post fire regeneration,"Difficulty in putting out fires, drought, little structure"
lack of shade,"Animals starving, eat manioc, kill animals"
"Fruits, air, good wind",snakes
"Nature, fruits, pequi, mangaba",fires
"fruits, wood"," Works little, only uses for plantation, mechanized, limestone"
"Fruits, pequi, cashew",Fire
 trees, fires
" Clear the rain, thunder",Dry
" Favorable for planting, closed, machine"," fertilizer, limestone"
"Fruits, food for animals","Costs, soil correction"
"fruits, plants","climate change, fire"
be small,"Running out of fruit, fire, weather"
hold on longer,fires
Take advantage of Legal Reserve rights,Anything
"fruits, mangaba",Anything
"regrowth, regenerate",fires
"cashew, pequi",Burned
rich fruit,Fire
